Nom station;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Actualisation de la donnée;Nom communes équipées
Italie - Tolbiac;21;11;8;4;4;2023-04-05T22:47:03+02:00;Paris
Artois - Berri;23;21;1;0;1;2023-04-05T22:45:28+02:00;Paris
Raspail Barbès;28;27;0;0;0;2023-04-05T22:46:07+02:00;Montreuil
Marceau - Chaillot;21;20;1;0;1;2023-04-05T22:46:58+02:00;Paris
De Toqueville - Terrasse;30;26;3;1;2;2023-04-05T22:45:22+02:00;Paris
Regnault - Patay;63;34;26;25;1;2023-04-05T22:44:50+02:00;Paris
Tour d'Auvergne - Rodier;17;14;3;3;0;2023-04-05T22:46:28+02:00;Paris
Las Cases - Bourgogne;22;18;3;3;0;2023-04-05T22:46:00+02:00;Paris
Charlot - Stade Gabriel Voisin;0;0;0;0;0;2022-12-14T14:44:35+01:00;Issy-les-Moulineaux
Octave Feuillet - Albéric Magnard;21;18;3;2;1;2023-04-05T22:46:21+02:00;Paris
Liard - Amiral Mouchez;14;1;13;7;6;2023-04-05T22:47:06+02:00;Paris
Edgar Quinet - Raspail;46;32;14;2;12;2023-04-05T22:40:54+02:00;Paris
Félix Ziem - Armand Gauthier;25;7;15;5;10;2023-04-05T22:45:18+02:00;Paris
Faubourg Montmartre - La Fayette;35;25;8;6;2;2023-04-05T22:47:02+02:00;Paris
Abbeville - Faubourg Poissonnière;14;4;9;2;7;2023-04-05T22:43:54+02:00;Paris
Place Georges Guillaumin;29;24;1;1;0;2023-04-05T22:46:25+02:00;Paris
Youri Gagarine - Karl Marx;22;11;11;3;8;2023-04-05T22:44:52+02:00;Villejuif
Bellefond - Poissonnière;17;11;6;6;0;2023-04-05T22:47:12+02:00;Paris
Ney - Porte de Clignancourt;25;21;3;0;3;2023-04-05T22:42:56+02:00;Paris
Square Louis XVI;29;24;3;0;3;2023-04-05T22:45:31+02:00;Paris
Place Jean-Spire-Lemaître;50;16;34;19;15;2023-04-05T22:44:27+02:00;Vincennes
Alexandre Parodi - Quai de Valmy;24;23;0;0;0;2023-04-05T22:43:17+02:00;Paris
Jean Oestreicher - Porte de Champerret;21;19;2;0;2;2023-04-05T22:44:46+02:00;Paris
Ségur - d'Estrées;19;13;5;3;2;2023-04-05T22:38:43+02:00;Paris
Granges aux Belles;27;1;22;15;7;2023-04-05T22:46:43+02:00;Paris
Boudreau - Auber;14;12;1;1;0;2023-04-05T22:46:06+02:00;Paris
Dunkerque - Rocroy;24;19;3;1;2;2023-04-05T22:45:23+02:00;Paris
Verger - Colonel Guichard;29;22;7;2;5;2023-04-05T22:38:55+02:00;Issy-les-Moulineaux
Gay Lussac - Saint-Jacques;24;22;0;0;0;2023-04-05T22:45:34+02:00;Paris
Moulin de Pierre - Abbé Grégoire;0;0;0;0;0;2023-04-05T22:44:59+02:00;Issy-les-Moulineaux
Gare de l'Est - Faubourg-Saint-Martin;32;30;2;1;1;2023-04-05T22:40:24+02:00;Paris
Arsène Houssaye - Friedland;29;22;5;0;5;2023-04-05T22:47:16+02:00;Paris
Gare de Nogent-le-Perreux;32;9;20;17;3;2023-04-05T22:46:07+02:00;Nogent-sur-Marne
Pereire - Ternes;48;45;2;0;2;2023-04-05T22:45:35+02:00;Paris
Gabriel Lamé;36;3;32;31;1;2023-04-05T22:45:19+02:00;Paris
Gare Saint-Lazare - Isly;27;26;0;0;0;2023-04-05T22:40:55+02:00;Paris
Boulangers - Cardinal Lemoine;20;15;2;2;0;2023-04-05T22:45:57+02:00;Paris
Quai de l'Horloge - Pont Neuf;17;10;2;1;1;2023-04-05T22:45:44+02:00;Paris
Place de la République - Voltaire;19;12;5;5;0;2023-04-05T22:45:10+02:00;Paris
Porte Pouchet-Bessières;23;16;4;1;3;2023-04-05T22:41:32+02:00;Paris
Douai - Bruxelles;27;25;2;1;1;2023-04-05T22:46:39+02:00;Paris
Octave Gréard - Tour Eiffel;33;23;9;8;1;2023-04-05T22:46:13+02:00;Paris
Ambroise Rendu - Porte Brunet;17;11;6;1;5;2023-04-05T22:47:10+02:00;Paris
Institut du Monde Arabe - Saint-Germain;40;39;1;0;1;2023-04-05T22:46:53+02:00;Paris
Gare Rosny-Bois-Perrier;36;13;21;3;18;2023-04-05T22:47:13+02:00;Rosny-sous-Bois
Henri Barbusse - Stalingrad;16;9;6;0;6;2023-04-05T22:44:28+02:00;Malakoff
Institut de France;17;16;1;0;1;2023-04-05T22:45:46+02:00;Paris
Argenteuil - Voltaire;16;3;13;3;10;2023-04-05T22:47:14+02:00;Asnières-sur-Seine
Vigée-Lebrun - Anselme Payen;24;21;3;1;2;2023-04-05T22:47:10+02:00;Paris
Legendre - Clichy;40;18;20;15;5;2023-04-05T22:47:15+02:00;Paris
Château - République;26;24;2;0;2;2023-04-05T22:46:54+02:00;Bagnolet
Quai de la Seine;24;16;3;1;2;2023-04-05T22:46:37+02:00;Paris
Thionville - Ourcq;24;1;21;11;10;2023-04-05T22:47:08+02:00;Paris
Lisbonne - Monceau;33;31;1;1;0;2023-04-05T22:41:11+02:00;Paris
Rossini - Laffitte;33;32;0;0;0;2023-04-05T22:38:49+02:00;Paris
Chartres - La Charbonnière;34;27;6;3;3;2023-04-05T22:45:21+02:00;Paris
Gare de Lyon - Place Louis Armand;60;53;7;3;4;2023-04-05T22:47:13+02:00;Paris
Ranelagh - Mozart;23;12;10;7;3;2023-04-05T22:45:37+02:00;Paris
Pesaro - Préfecture;22;22;0;0;0;2023-04-05T22:06:06+02:00;Nanterre
Belidor - Gouvion-Saint-Cyr;39;37;1;0;1;2023-04-05T22:46:57+02:00;Paris
Moncey - Blanche;17;14;1;1;0;2023-04-05T22:46:59+02:00;Paris
Exelmans - Versailles;49;31;14;11;3;2023-04-05T22:44:04+02:00;Paris
Gare du Nord - Hôpital Lariboisière;49;41;7;2;5;2023-04-05T22:41:55+02:00;Paris
11 Novembre 1918 - 8 Mai 1945;36;12;24;8;16;2023-04-05T22:47:07+02:00;Champigny-sur-Marne
Place de Rhin et Danube;17;9;7;0;7;2023-04-05T22:46:36+02:00;Paris
Place Du Général De Gaulle;26;17;9;1;8;2023-04-05T22:43:55+02:00;Montreuil
Roquette - Thiéré;23;1;20;17;3;2023-04-05T22:45:57+02:00;Paris
Pereire - Rennequin;23;18;3;1;2;2023-04-05T22:46:09+02:00;Paris
Saint-Maur - Roquette;46;3;40;27;13;2023-04-05T22:46:15+02:00;Paris
Amelot - Saint-Sébastien;30;4;24;20;4;2023-04-05T22:47:00+02:00;Paris
Claude Decaen - Cannebière;27;14;13;3;10;2023-04-05T22:46:21+02:00;Paris
Panthéon - Valette;39;35;1;0;1;2023-04-05T22:43:01+02:00;Paris
Berri - Haussmann;35;34;0;0;0;2023-04-05T22:43:22+02:00;Paris
Cimetière de Montrouge;58;48;10;4;6;2023-04-05T22:45:38+02:00;Paris
Delphine Seyrig - Général Leclerc;53;51;2;1;1;2023-04-05T22:42:48+02:00;Pantin
Pyrénées - Emmery;40;28;10;0;10;2023-04-05T22:42:21+02:00;Paris
Desaix - Edgar Faure;12;1;10;10;0;2023-04-05T22:40:30+02:00;Paris
Redoute - Les Courtilles;32;2;27;15;12;2023-04-05T22:40:45+02:00;Asnières-sur-Seine
Gare RER - Canadiens;45;34;10;9;1;2023-04-05T22:45:07+02:00;Joinville-le-Pont
Saint-Ambroise - Parmentier;38;6;29;22;7;2023-04-05T22:46:07+02:00;Paris
Notre-Dame-des-Champs - Stanislas;19;16;2;0;2;2023-04-05T22:41:43+02:00;Paris
Pyramide - Ecole du Breuil;34;21;12;11;1;2023-04-05T22:42:17+02:00;Paris
Liège - Moscou;17;15;1;0;1;2023-04-05T22:47:13+02:00;Paris
Mairie de Montreuil;52;47;2;0;2;2023-04-05T22:46:56+02:00;Montreuil
Schoelcher - Raspail;50;40;9;5;4;2023-04-05T22:38:15+02:00;Paris
Square Simon Bolivar;24;19;4;1;3;2023-04-05T22:41:36+02:00;Paris
Rouget de Lisle;35;0;33;27;6;2023-04-05T22:43:55+02:00;Choisy-le-Roi
Cimetière de Montmartre;43;37;5;0;5;2023-04-05T22:38:39+02:00;Paris
Richard Lenoir - Republique;58;50;6;6;0;2023-04-05T22:46:27+02:00;Paris
Récollets - Square Villemin;17;14;2;1;1;2023-04-05T22:45:38+02:00;Paris
Port-Royal - Hôpital du Val-de-Grâce;18;3;14;5;9;2023-04-05T22:45:58+02:00;Paris
Charles de Gaulle - Beauté;49;40;8;3;5;2023-04-05T22:45:34+02:00;Nogent-sur-Marne
Grands Moulins de Pantin;50;45;4;1;3;2023-04-05T22:42:45+02:00;Paris
Marne - Germain Dardan;22;15;7;2;5;2023-04-05T22:42:14+02:00;Montrouge
Pajol - Place Herbert;39;0;38;18;20;2023-04-05T22:47:08+02:00;Paris
Mutualité;37;22;14;13;1;2023-04-05T22:46:54+02:00;Paris
Gabriel Péri - Francisco Ferrer;18;2;16;2;14;2023-04-05T22:40:13+02:00;Le Pré-Saint-Gervais
Anatole France - President Roosevelt;29;2;27;16;11;2023-04-05T22:46:05+02:00;Aubervilliers
Place de la Reine Astrid;58;52;1;0;1;2023-04-05T22:46:45+02:00;Paris
Henry Farman;16;16;0;0;0;2023-04-05T22:45:32+02:00;Paris
Roger Salengro - Fontainebleau;25;6;19;10;9;2023-04-05T22:46:32+02:00;Le Kremlin-Bicêtre
Jourdain - Place des Grandes Rigoles;22;22;0;0;0;2023-04-05T22:42:55+02:00;Paris
Concorde - Stalingrad;35;10;22;2;20;2023-04-05T22:46:30+02:00;Vitry-sur-Seine
Fontenay - Libération;25;0;24;13;11;2023-04-05T22:46:36+02:00;Vincennes
Carducci - Place Hannah Arendt;27;16;9;1;8;2023-04-05T22:46:29+02:00;Paris
Hôpital Européen Georges Pompidou;64;61;3;2;1;2023-04-05T22:46:57+02:00;Paris
Victor Hugo - Jeanne Jugan;28;21;4;3;1;2023-04-05T22:43:33+02:00;Paris
Fédération - Suffren;25;17;8;7;1;2023-04-05T22:47:08+02:00;Paris
Conservatoire de Musique;25;6;19;14;5;2023-04-05T22:45:26+02:00;Choisy-le-Roi
Saint-Jacques - Val de Grâce;20;12;5;3;2;2023-04-05T22:46:17+02:00;Paris
Cimetière de Fontenay-sous-Bois;15;13;2;0;2;2023-04-05T22:47:06+02:00;Fontenay-sous-Bois
Manin - Carrières d'Amérique;20;7;11;6;5;2023-04-05T22:40:10+02:00;Paris
Marc Sangnier - Porte de Vanves;21;17;2;0;2;2023-04-05T22:46:30+02:00;Paris
Porte de Vanves;32;31;1;1;0;2023-04-05T22:45:48+02:00;Paris
Etienne Jodelle - Saint Ouen;33;26;5;3;2;2023-04-05T22:45:07+02:00;Paris
Lucie Aubrac - Fort;30;20;8;1;7;2023-04-05T22:42:51+02:00;Issy-les-Moulineaux
Chabanais - Petits Champs;30;27;2;2;0;2023-04-05T22:40:14+02:00;Paris
Buisson Saint-Louis - Saint-Maur;19;13;5;4;1;2023-04-05T22:45:52+02:00;Paris
Bertie Albrecht - Hoche;32;29;1;0;1;2023-04-05T22:43:23+02:00;Paris
Place Albert Kahn;46;20;23;8;15;2023-04-05T22:44:53+02:00;Paris
Cevennes - Bergers;29;0;28;21;7;2023-04-05T22:45:51+02:00;Paris
Championnet - Vauvenargues;33;11;19;8;11;2023-04-05T22:46:50+02:00;Paris
Molière - République;30;16;14;5;9;2023-04-05T22:43:14+02:00;Montrouge
Place Marcel Cachin;32;2;29;27;2;2023-04-05T22:45:19+02:00;Ivry-sur-Seine
Hôtel de Ville de Boulogne Billancourt;26;2;19;16;3;2023-04-05T22:45:35+02:00;Boulogne-Billancourt
Rocher - Laborde;65;57;7;3;4;2023-04-05T22:44:00+02:00;Paris
Enghien - Faubourg Poissonnière;33;29;4;4;0;2023-04-05T22:39:41+02:00;Paris
Lecourbe - Jean Maridor;19;1;18;13;5;2023-04-05T22:46:57+02:00;Paris
David Weill - Parc Montsouris;22;14;6;2;4;2023-04-05T22:43:54+02:00;Paris
Grenelle - Violet;35;2;32;30;2;2023-04-05T22:45:41+02:00;Paris
Place Robert Guillemard;24;5;18;18;0;2023-04-05T22:45:49+02:00;Paris
Mouton Duvernet - Général Leclerc;39;37;2;0;2;2023-04-05T22:46:58+02:00;Paris
François Debergue - Croix de Chavaux;57;56;1;0;1;2023-04-05T22:46:00+02:00;Montreuil
Erasme - Ulm;24;23;0;0;0;2023-04-05T22:45:03+02:00;Paris
Nationale - Place Jules Guesde;23;1;19;18;1;2023-04-05T22:47:08+02:00;Boulogne-Billancourt
Guy Môquet - Etienne Dolet;23;17;5;1;4;2023-04-05T22:47:05+02:00;Malakoff
Gabriel Péri - Danielle Casanova;20;4;15;8;7;2023-04-05T22:45:45+02:00;Vitry-sur-Seine
Jean Jaurès - Presles;30;14;13;7;6;2023-04-05T22:44:28+02:00;Pantin
Lakanal - Commerce;53;3;46;45;1;2023-04-05T22:47:08+02:00;Paris
Boissière - Etienne Dolet;21;8;13;1;12;2023-04-05T22:41:06+02:00;Montreuil
Karl Marx;16;14;2;1;1;2023-04-05T22:39:32+02:00;Villejuif
Marcadet - Barbès;37;19;17;9;8;2023-04-05T22:45:52+02:00;Paris
Tertres - Fontaine;28;20;8;3;5;2023-04-05T22:43:52+02:00;Bagneux
Sibelle - Alésia;25;17;7;7;0;2023-04-05T22:44:12+02:00;Paris
Oberkampf - République;24;4;19;16;3;2023-04-05T22:46:25+02:00;Paris
Hoche - Jean Lolive;24;1;23;8;15;2023-04-05T22:43:57+02:00;Pantin
Cossonnerie - Sébastopol;24;23;0;0;0;2023-04-05T22:45:30+02:00;Paris
Saint Lambert - Blomet;27;0;26;17;9;2023-04-05T22:44:31+02:00;Paris
Noisy le Sec - Jean-Baptiste Clément;22;1;20;0;20;2023-04-05T22:46:46+02:00;Bagnolet
Marcelin Berthelot;27;6;20;15;5;2023-04-05T22:46:32+02:00;Boulogne-Billancourt
Cujas - Saint-Michel;19;14;1;0;1;2023-04-05T22:45:39+02:00;Paris
Repos - Cimetière du Père Lachaise;33;21;10;5;5;2023-04-05T22:46:39+02:00;Paris
Henri Ste-Claire Déville - Paul Héroult;24;11;10;8;2;2023-04-05T22:38:41+02:00;Rueil-Malmaison
Edouard Tremblay - Julian Grimaux;30;25;5;0;5;2023-04-05T22:43:27+02:00;Vitry-sur-Seine
Paris - Emile Zola;30;14;12;3;9;2023-04-05T22:46:57+02:00;Montreuil
Carnot - Pâquerettes;26;5;19;7;12;2023-04-05T22:44:55+02:00;Alfortville
Jean Jaurès - Salvador Allende;43;40;2;1;1;2023-04-05T22:47:01+02:00;Malakoff
Place de la Porte de Champerret;0;0;0;0;0;2023-02-17T00:20:23+01:00;Paris
Victoire - Chaussée d'Antin;24;22;1;0;1;2023-04-05T22:44:41+02:00;Paris
Gare Rer de Fontenay sous Bois;61;51;8;7;1;2023-04-05T22:46:32+02:00;Fontenay-sous-Bois
Galilée - Kléber;32;31;1;0;1;2023-04-05T22:47:10+02:00;Paris
Raspail - Manufacture des Oeillets;32;8;24;14;10;2023-04-05T22:46:20+02:00;Ivry-sur-Seine
Quai Panhard et Levassor;57;55;0;0;0;2023-04-05T22:44:06+02:00;Paris
Marcelle - Thalie;20;14;3;0;3;2023-04-05T22:37:39+02:00;Pantin
Chemin Vert - Saint-Maur;45;8;37;22;15;2023-04-05T22:46:00+02:00;Paris
Louis Lumière - Porte de Bagnolet;20;19;0;0;0;2023-04-05T22:43:51+02:00;Paris
Square du Théâtre du Garde-Chasse;50;43;6;1;5;2023-04-05T22:43:58+02:00;Les Lilas
Victor Hugo - Galliéni;34;5;29;25;4;2023-04-05T22:46:46+02:00;Boulogne-Billancourt
Botzaris - Parc des Buttes Chaumont;20;17;0;0;0;2023-04-05T22:42:49+02:00;Paris
Richard Lenoir - Jean-Pierre Timbaud;36;19;16;13;3;2023-04-05T22:46:25+02:00;Paris
Général De Gaulle - Alouette;26;1;24;17;7;2023-04-05T22:47:12+02:00;Saint-Mandé
Legendre - Dulong;23;17;4;3;1;2023-04-05T22:46:41+02:00;Paris
Joseph Liouville - Croix Nivert;64;43;21;9;12;2023-04-05T22:46:20+02:00;Paris
Rochechouart lamartine;24;2;21;20;1;2023-04-05T22:47:14+02:00;Paris
Place Madeleine Daniélou;42;36;6;2;4;2023-04-05T22:41:57+02:00;Paris
Estrapade - Ulm;16;14;1;0;1;2023-04-05T22:46:46+02:00;Paris
Cauchy - Cévennes;51;2;45;38;7;2023-04-05T22:46:58+02:00;Paris
Hoche - Tilsitt;33;33;0;0;0;2023-04-05T22:42:47+02:00;Paris
Beffroy;26;24;2;0;2;2023-04-05T22:41:55+02:00;Neuilly-sur-Seine
Jean-François Lépine - Stephenson;22;9;8;6;2;2023-04-05T22:47:11+02:00;Paris
Molitor - Chardon-Lagache;34;5;27;25;2;2023-04-05T22:44:41+02:00;Paris
Marie-Georges Picquart - Pereire;32;28;4;0;4;2023-04-05T22:43:56+02:00;Paris
Abbé Carton - Plantes;25;20;4;4;0;2023-04-05T22:46:48+02:00;Paris
Sablons - Georges Mandel;38;38;0;0;0;2023-04-05T22:45:02+02:00;Paris
Gare RER de Vincennes;51;48;1;0;1;2023-04-05T22:46:54+02:00;Vincennes
Mairie du 11ème;51;2;46;42;4;2023-04-05T22:45:45+02:00;Paris
Marché Secrétan;26;23;2;1;1;2023-04-05T22:45:23+02:00;Paris
Théophile Gautier - François Millet;30;3;24;24;0;2023-04-05T22:45:03+02:00;Paris
Lieutenant Chauré - Etienne Marey;20;18;2;0;2;2023-04-05T22:40:46+02:00;Paris
Villette - Belleville;48;15;29;21;8;2023-04-05T22:47:13+02:00;Paris
Parmentier - République;50;27;22;15;7;2023-04-05T22:43:43+02:00;Paris
Larmeroux - Baudelaire;29;12;16;4;12;2023-04-05T22:46:38+02:00;Vanves
Arche - Léonard de Vinci;28;26;1;0;1;2023-04-05T22:37:49+02:00;Courbevoie
Charles de Gaulle - Sablonville;26;18;7;3;4;2023-04-05T22:38:26+02:00;Neuilly-sur-Seine
Miromesnil - La Boétie;35;33;1;0;1;2023-04-05T22:45:54+02:00;Paris
Auguste Cain - Jean Moulin;40;33;7;2;5;2023-04-05T22:46:58+02:00;Paris
Chemin Vert - Fraternité;20;16;3;0;3;2023-04-05T22:45:40+02:00;Romainville
Marseille - Beaurepaire;55;37;15;15;0;2023-04-05T22:45:46+02:00;Paris
Saint-Germain - Thenard;31;18;9;9;0;2023-04-05T22:47:13+02:00;Paris
Arago - Glacière;27;13;14;9;5;2023-04-05T22:47:06+02:00;Paris
Parmentier - Abel Rabaud;52;27;22;16;6;2023-04-05T22:47:09+02:00;Paris
Place Paul Eluard;19;1;18;16;2;2023-04-05T22:45:52+02:00;Choisy-le-Roi
Mairie d'Ivry-sur-Seine;53;5;48;37;11;2023-04-05T22:46:32+02:00;Ivry-sur-Seine
Exelmans - Michel-Ange;33;27;4;1;3;2023-04-05T22:46:31+02:00;Paris
Parc Georges Brassens - Brancion;29;8;21;12;9;2023-04-05T22:44:49+02:00;Paris
Reims - Raymond Pitet;37;33;2;0;2;2023-04-05T22:43:50+02:00;Paris
Pierret - Madrid;28;26;1;1;0;2023-04-05T22:45:54+02:00;Neuilly-sur-Seine
Saint-Vincent - Verdun;34;5;26;16;10;2023-04-05T22:46:57+02:00;Issy-les-Moulineaux
Aristide Briand - Gare de Bagneux;22;20;2;0;2;2023-04-05T22:45:31+02:00;Cachan
Hautpoul - Jean Jaurès;32;12;17;4;13;2023-04-05T22:47:08+02:00;Paris
Victoria - Place du Chatelet;22;16;2;0;2;2023-04-05T22:47:01+02:00;Paris
Wilson - Métallurgie;28;18;9;5;4;2023-04-05T22:38:31+02:00;Saint-Denis
Seine - Flandre;19;6;13;10;3;2023-04-05T22:46:53+02:00;Paris
Madame de Sanzillon - Mozart;22;12;6;5;1;2023-04-05T22:40:51+02:00;Clichy
Mathurins - Auber;36;33;1;1;0;2023-04-05T22:39:51+02:00;Paris
Mairie du 7ème;27;24;1;1;0;2023-04-05T22:45:37+02:00;Paris
Grand Prieuré - Crussol;49;18;28;28;0;2023-04-05T22:46:39+02:00;Paris
Marignan - Champs-Elysées;35;33;1;0;1;2023-04-05T22:38:37+02:00;Paris
Square d'Anvers;33;18;14;7;7;2023-04-05T22:46:42+02:00;Paris
Gare RER de Gentilly;30;17;12;5;7;2023-04-05T22:41:34+02:00;Gentilly
Volontaire - Lecourbe;31;1;28;16;12;2023-04-05T22:46:22+02:00;Paris
Place de la Porte de Paris;40;22;16;6;10;2023-04-05T22:47:17+02:00;Saint-Denis
Laumière - Petit;34;6;25;17;8;2023-04-05T22:45:25+02:00;Paris
Place Amédée Gordini - Lefebvre;38;29;9;2;7;2023-04-05T22:47:04+02:00;Paris
Quai du docteur Dervaux;26;26;0;0;0;2023-01-18T09:46:16+01:00;Asnières-sur-Seine
Stalingrad - Désiré Chevalier;42;33;8;2;6;2023-04-05T22:44:08+02:00;Montreuil
Gare Arcueil - Cachan;26;21;4;1;3;2023-04-05T22:43:05+02:00;Arcueil
Hôtel de Ville de Nanterre;38;13;23;1;22;2023-04-05T22:47:13+02:00;Nanterre
Place Jean Ferrat;25;9;14;6;8;2023-04-05T22:46:46+02:00;Ivry-sur-Seine
Victor Hugo - Ecoles;25;8;17;11;6;2023-04-05T22:45:00+02:00;Alfortville
Villiers de l'Isle Adam - Pyrénées;20;3;16;0;16;2023-04-05T22:46:55+02:00;Paris
Charonne - Faubourg Saint-Antoine;34;3;27;26;1;2023-04-05T22:45:48+02:00;Paris
Saint-Jacques - Soufflot;0;0;0;0;0;2018-06-06T08:42:14+02:00;Paris
Jules Ferry - Faubourg du Temple Paris;58;27;28;23;5;2023-04-05T22:46:48+02:00;Paris
Flandre - Alphonse Karr;25;3;21;15;6;2023-04-05T22:45:21+02:00;Paris
Stephenson - Doudeauville;36;4;31;11;20;2023-04-05T22:46:58+02:00;Paris
Hôpital Bégin;26;22;3;2;1;2023-04-05T22:45:45+02:00;Vincennes
Charenton - Diderot;18;1;15;15;0;2023-04-05T22:44:42+02:00;Paris
Raspail - Bac;52;52;0;0;0;2023-04-05T22:46:01+02:00;Paris
Boulard - Daguerre;45;40;5;4;1;2023-04-05T22:44:54+02:00;Paris
Place de l'Édit de Nantes;30;17;12;11;1;2023-04-05T22:46:05+02:00;Paris
Tristan Tzara -  Tchaïkovski;33;6;24;8;16;2023-04-05T22:46:08+02:00;Paris
Saint Georges - d'Aumale;23;13;9;7;2;2023-04-05T22:46:13+02:00;Paris
Boyer - Ménilmontant;19;1;2;0;2;2023-03-13T01:29:37+01:00;Paris
Stalingrad - Germaine Tailleferre;28;17;11;4;7;2023-04-05T22:47:14+02:00;Ivry-sur-Seine
Anatole France - Louise Michel;50;43;4;4;0;2023-04-05T22:42:55+02:00;Levallois-Perret
Jacques Callot - Mazarine;28;17;6;5;1;2023-04-05T22:46:46+02:00;Paris
Montgallet - Charenton;16;1;11;10;1;2023-04-05T22:40:01+02:00;Paris
Flandre - Riquet;21;6;15;6;9;2023-04-05T22:45:35+02:00;Paris
Gaston Roussel - Commune de Paris;30;21;8;0;8;2023-04-05T22:46:11+02:00;Romainville
Jean Macé - Faidherbe;63;10;51;33;18;2023-04-05T22:43:07+02:00;Paris
Porte de Vincennes;33;31;2;2;0;2023-04-05T22:42:36+02:00;Paris
Dupleix - du Guesclin;47;18;28;28;0;2023-04-05T22:47:06+02:00;Paris
Bienfaisance - Place de Narvik;36;34;1;1;0;2023-04-05T22:45:45+02:00;Paris
Boulets - Voltaire;24;9;15;12;3;2023-04-05T22:45:47+02:00;Paris
Guynemer - Séverine;26;18;7;6;1;2023-04-05T22:39:52+02:00;Issy-les-Moulineaux
Pasteur - Gambetta;19;15;4;2;2;2023-04-05T22:46:51+02:00;Saint-Mandé
Richard Wallace - Place du 8 Mai 1945;30;9;21;15;6;2023-04-05T22:45:22+02:00;Puteaux
Fragonard - Porte de Clichy;56;17;34;33;1;2023-04-05T22:47:10+02:00;Paris
Square Gilbert Thomain;20;11;9;2;7;2023-04-05T22:46:39+02:00;Asnières-sur-Seine
Place des Ternes.;46;40;6;4;2;2023-04-05T22:46:39+02:00;Paris
Alfred Roll - Berthier;28;21;7;2;5;2023-04-05T22:45:41+02:00;Paris
Place de Verdun;40;1;39;31;8;2023-04-05T22:44:13+02:00;Joinville-le-Pont
Faustin Hélie - Desbordes-Valmore;33;27;3;1;2;2023-04-05T22:45:43+02:00;Paris
Montgallet - Reuilly;16;8;7;6;1;2023-04-05T22:45:09+02:00;Paris
Varenne;47;44;2;1;1;2023-04-05T22:41:54+02:00;Paris
Parmentier - Hôpital Saint-Louis;43;16;25;14;11;2023-04-05T22:45:35+02:00;Paris
Ancien Canal - Hélène Brion;23;9;14;1;13;2023-04-05T22:47:10+02:00;Pantin
Place Jacques Madaule;25;11;14;13;1;2023-04-05T22:41:14+02:00;Issy-les-Moulineaux
Departement - Pajol;19;2;16;8;8;2023-04-05T22:46:54+02:00;Paris
Jussieu - Fossés Saint-Bernard;39;27;12;9;3;2023-04-05T22:46:13+02:00;Paris
Edouard Poisson - Victor Hugo;30;3;27;20;7;2023-04-05T22:46:57+02:00;Aubervilliers
Jardin d'Acclimatation;33;30;2;1;1;2023-04-05T22:46:48+02:00;Paris
Montreuil - Gonnet;24;6;16;12;4;2023-04-05T22:45:03+02:00;Paris
Square Cambronne;59;59;0;0;0;2023-03-27T23:08:50+02:00;Paris
Place de la Porte de Châtillon;59;53;4;1;3;2023-04-05T22:40:18+02:00;Paris
Porte Maillot - Pereire;0;0;0;0;0;2022-07-25T00:02:50+02:00;Paris
Commandant Rivière;27;23;1;1;0;2023-04-05T22:42:51+02:00;Paris
Gare de Laplace;43;42;1;0;1;2023-04-05T22:45:09+02:00;Arcueil
Gare Montparnasse - René Mouchotte;39;39;0;0;0;2023-04-05T22:46:37+02:00;Paris
Clignancourt - Sofia;19;2;15;5;10;2023-04-05T22:46:19+02:00;Paris
Paul Vaillant Couturier - Chaptal;39;32;3;3;0;2023-04-05T22:43:43+02:00;Levallois-Perret
Alexandre Dumas - Voltaire;59;28;26;13;13;2023-04-05T22:47:05+02:00;Paris
Bayen - Pereire;22;10;10;10;0;2023-04-05T22:46:45+02:00;Paris
Bordier - Félix Faure;48;27;18;10;8;2023-04-05T22:46:50+02:00;Aubervilliers
Quai de la Loire - Jean Jaurès;16;12;1;1;0;2023-04-05T22:45:27+02:00;Paris
Félix Faure - Sadi Carnot;33;27;2;0;2;2023-04-05T22:44:22+02:00;Aubervilliers
Route de Sèvres - Porte de Bagatelle;66;6;56;56;0;2023-04-05T22:46:54+02:00;Paris
Jean Colly - Tolbiac;36;30;5;1;4;2023-04-05T22:47:08+02:00;Paris
Charonne - Avron;27;19;7;3;4;2023-04-05T22:46:39+02:00;Paris
Flandrin - Henri Martin;18;18;0;0;0;2023-04-05T22:42:38+02:00;Paris
18 juin 1940 - Buzenval;25;19;5;2;3;2023-04-05T22:37:36+02:00;Rueil-Malmaison
Pirogues de Bercy - Libourne;49;42;6;6;0;2023-04-05T22:46:02+02:00;Paris
Mairie de La Garenne Colombes;22;1;18;11;7;2023-04-05T22:43:41+02:00;La Garenne-Colombes
Gare de Courbevoie;35;27;6;4;2;2023-04-05T22:46:48+02:00;Courbevoie
Porte de la Villette;27;17;7;6;1;2023-04-05T22:47:02+02:00;Paris
Réunion - Avron;26;12;14;7;7;2023-04-05T22:46:36+02:00;Paris
Ouest - Château;23;22;1;1;0;2023-04-05T22:43:06+02:00;Paris
Square des Saint-Simoniens;25;16;8;1;7;2023-04-05T22:45:48+02:00;Paris
Place aux Étoiles;40;38;2;1;1;2023-04-05T22:43:49+02:00;Saint-Denis
Petit - Manin;22;12;10;1;9;2023-04-05T22:42:46+02:00;Paris
